/home/wbeirigo/Clima/weather/proj
SS150 IL 1/2 ZF;SS150ZF;1;
SS150 IL F;SS150F;1;
SS150 IL S;SS150S;1;
SS170 L S;SS170S;1;
SS170 L F;SS170F;1;
SS170 L 1/2 ZF;SS170ZF;1;
SS220 L 1/2 ZF;SS220ZF;1;
SS220 L F;SS220F;1;
SS20 L S;SS20;1;
SS190 IL S;SS190S;1;
SS190 IL F;SS190F;1;
SS190 IL 1/2 ZF;SS190ZF;1;
SS240 IL F;SS240F;1;
SS240 IL ZF;SS240ZF;1;
SS230 L F;SS230F;1;
SS230 L ZF;SS230ZF;1;
SS230 L S;SS230S;1;
